close,open,galaxy_score,alt_rank,correlation_rank,social_volume,social_dominance,average_sentiment,url_shares,tweets,tweet_spam,news,market_dominance,volatility,time
11749.0329,11757.38056,67.5,71,3.9,3919,33.80779848171153,3.6,973,3154,947,19,59.92194107405112,0.00772588,1596924000
11774.606464,11881.76842,67.5,91,3.7,3853,37.81529100009814,3.7,1176,3091,973,9,59.70535167357751,0.00756134,1596927600
11769.334305,11787.685602,68.0,96,3.9,3800,38.73203547039038,3.7,2195,2773,1765,36,59.71494078358559,0.00748758,1596931200
11702.3821,11719.378427,71.5,96,4.1,3647,37.10071210579858,3.7,1202,2924,1328,16,59.74463184832835,0.00718282,1596934800
11701.494726,11687.913722,69.0,98,3.6,3188,35.33192951346559,3.8,1038,2577,1281,9,59.87636463719397,0.00690145,1596938400
11737.874397,11706.386721,64.0,77,3.4,3628,40.1994459833795,3.6,1055,3010,1443,6,59.85773732451008,0.0066977,1596942000
11692.489623,11712.472409,66.5,92,3.4,3326,38.58468677494199,3.7,1202,2563,1070,14,59.89192043351586,0.00659175,1596945600
11652.671945,11676.444654,68.0,106,3.1,3397,38.24589056518802,3.7,1167,2721,1256,12,59.90804924541769,0.00649096,1596949200
11661.258369,11645.818035,65.5,88,3.0,3382,36.05928137328073,3.7,1124,2687,1274,20,59.89414492168069,0.00637385,1596952800
11698.114494,11716.012693,67.5,86,3.0,3818,37.05357142857143,3.6,1411,2969,1605,24,59.7592673994601,0.00637575,1596956400
11692.881485,11690.993749,72.0,89,3.2,4057,39.48418491484185,3.7,1545,3200,1578,28,59.65923917138048,0.00638095,1596960000
11649.337363,11577.835618,74.0,137,3.3,3642,38.13612565445026,3.7,1303,2920,1672,12,59.87408393453235,0.00634561,1596963600
11673.635365,11691.130889,73.0,136,3.4,3782,33.2746788667957,3.7,1509,3031,1831,23,59.79810271453852,0.00616535,1596967200
11689.315087,11687.580078,71.0,134,3.4,3914,35.20417341248426,3.7,1317,3176,1937,29,59.72089257482195,0.00572229,1596970800
11647.646242,11629.195233,73.5,104,3.5,4420,37.13973615662549,3.7,1426,3477,2077,36,59.83413991391322,0.00533584,1596974400
11613.259052,11617.898213,71.5,119,3.3,4474,34.86324320112211,3.6,1553,3555,1786,25,59.87438030672166,0.0052808,1596978000
11571.044731,11582.579664,72.0,120,3.1,4870,37.94903763734124,3.7,1450,3924,1733,22,59.99843372150349,0.00542171,1596981600
11576.24976,11598.157564,72.0,123,3.3,4786,36.49256576439191,3.7,1570,3870,2332,23,59.93567678701777,0.00554485,1596985200
11597.285862,11611.033793,67.0,116,2.9,4952,36.2970021256322,3.7,1597,4089,1631,27,59.6640702805072,0.00558963,1596988800
11536.429547,11547.133975,73.0,111,3.2,5021,36.23962468422952,3.7,1665,4119,1442,31,59.81490526726538,0.0058587,1596992400
11647.100535,11625.367811,67.5,75,2.9,4914,34.63734404736731,3.7,1375,3987,1289,19,59.50312868751065,0.00586712,1596996000
11625.197769,11637.309082,64.5,95,3.0,4356,32.7888596161084,3.6,1166,3498,1267,22,59.56415874761701,0.00588803,1596999600
11667.543324,11689.138543,59.0,126,2.7,4162,34.19323036477161,3.6,998,3475,1325,18,59.47935333896023,0.00568874,1597003200
11647.288588,11593.004482,59.0,136,2.9,4197,34.13027567699439,3.6,1203,3376,1161,23,59.45066707503318,0.00548523,1597006800
11696.019191,11647.962892,53.5,138,3.0,4694,37.35179438211188,3.6,1040,3914,1216,14,59.48735826901898,0.00544971,1597010400
11691.486824,11717.940237,59.0,106,3.1,3818,33.66249338740963,3.5,1014,3093,1132,15,59.47178340405869,0.0053522,1597014000
11746.168754,11707.387082,53.5,89,3.0,3943,39.12482635443541,3.7,1092,3173,1105,38,58.39902835322357,0.00526765,1597017600
11857.467619,11798.88276,74.0,60,3.3,3568,39.6048396048396,3.7,996,2858,1163,18,59.1129651220965,0.00553134,1597021200
12002.997226,11878.336177,77.5,20,3.8,4601,45.17871170463472,3.7,1077,3788,1293,34,59.97801934646269,0.00680481,1597024800
12021.933223,12025.749118,78.0,35,5.0,5466,50.11460529934904,3.7,1267,4615,1419,16,59.93227656507823,0.00798406,1597028400
11989.598092,12002.025676,75.0,24,4.5,5027,46.49033570701933,3.7,1219,4125,1312,25,59.98920522640447,0.00875066,1597032000
11967.843359,11963.141414,73.0,26,4.4,4290,43.03772070626003,3.6,1225,3422,1175,34,59.89563454439249,0.00932691,1597035600
11993.758443,11995.829692,72.0,41,4.2,4232,41.5472216768113,3.6,1245,3344,1727,43,59.79203270014045,0.00998753,1597039200
11977.716719,11971.901518,71.0,33,4.0,5682,44.59268560665516,3.6,1642,4481,1652,31,59.79710349120351,0.01051514,1597042800
11986.071011,11985.264318,74.5,22,4.0,6487,43.3738967638406,3.7,1825,5201,1662,29,59.85015454642904,0.0110289,1597046400
11980.123956,11961.436872,74.5,43,4.0,6214,41.22603330458436,3.7,1641,4990,1495,41,59.77774879923512,0.01145609,1597050000
11708.156038,11942.034277,72.0,44,4.1,5744,41.09608642770265,3.6,1608,4553,1628,33,59.59512767933094,0.01146303,1597053600
11750.789599,11727.689305,74.0,48,4.2,6323,45.63366050808314,3.7,1654,5102,1984,39,59.3584137786928,0.01143694,1597057200
